  0.6281314       1.035823       1.379693       1.683532       1.957855    
   2.208253       2.438206       2.650078       2.845569       3.025950    
   3.192206       3.345109       3.485279       3.613240       3.729410    
   3.834143       3.927729       4.010397       4.082365       4.143797    
   4.194828       4.235576       4.266110       4.286469       4.296676    
   4.296681       4.286482       4.266133       4.235616       4.194872    
   4.143847       4.082434       4.010474       3.927800       3.834208    
   3.729481       3.613327       3.485371       3.345195       3.192288    
   3.026045       2.845683       2.650187       2.438304       2.208340    
   1.957934       1.683603       1.379748       1.035866      0.6281499    
  0.3991776      0.6084257      0.7737495      0.9157343       1.041910    
   1.155929       1.259918       1.355252       1.442882       1.523500    
   1.597628       1.665674       1.727956       1.784738       1.836231    
   1.882610       1.924023       1.960582       1.992391       2.019533    
   2.042070       2.060061       2.073540       2.082533       2.087057    
   2.087056       2.082531       2.073538       2.060057       2.042064    
   2.019523       1.992382       1.960570       1.924008       1.882594    
   1.836215       1.784726       1.727948       1.665667       1.597621    
   1.523496       1.442883       1.355257       1.259921       1.155935    
   1.041915      0.9157410      0.7737585      0.6084331      0.3991820    
  0.3778866      0.5715379      0.7208838      0.8472614      0.9585225    
   1.058446       1.149186       1.232113       1.308158       1.377990    
   1.442109       1.500899       1.554660       1.603637       1.648025    
   1.687984       1.723649       1.755123       1.782500       1.805852    
   1.825239       1.840714       1.852308       1.860041       1.863929    
   1.863928       1.860039       1.852304       1.840712       1.825238    
   1.805850       1.782503       1.755129       1.723656       1.687992    
   1.648033       1.603649       1.554673       1.500909       1.442116    
   1.377998       1.308171       1.232127       1.149198       1.058456    
  0.9585307      0.8472690      0.7208871      0.5715442      0.3778890    
  0.3576134      0.5371855      0.6732570      0.7869924      0.8862512    
  0.9748343       1.054901       1.127812       1.194489       1.255584    
   1.311583       1.362851       1.409678       1.452296       1.490889    
   1.525607       1.556575       1.583887       1.607633       1.627881    
   1.644685       1.658095       1.668140       1.674839       1.678207    
   1.678209       1.674843       1.668145       1.658103       1.644692    
   1.627887       1.607641       1.583894       1.556577       1.525607    
   1.490889       1.452301       1.409683       1.362852       1.311580    
   1.255583       1.194491       1.127812       1.054899      0.9748333    
  0.8862522      0.7869946      0.6732612      0.5371910      0.3576145    
  0.3457853      0.5179178      0.6470541      0.7541472      0.8470306    
  0.9295260       1.003814       1.071265       1.132805       1.189087    
   1.240594       1.287691       1.330661       1.369732       1.405087    
   1.436870       1.465205       1.490185       1.511895       1.530401    
   1.545754       1.557999       1.567167       1.573279       1.576349    
   1.576349       1.573280       1.567167       1.557999       1.545751    
   1.530397       1.511895       1.490186       1.465202       1.436865    
   1.405079       1.369727       1.330655       1.287684       1.240587    
   1.189081       1.132806       1.071266       1.003814      0.9295269    
  0.8470307      0.7541491      0.6470563      0.5179197      0.3457856    
  0.3374992      0.5047020      0.6293215      0.7321167      0.8208684    
  0.8994005      0.9699049       1.033763       1.091908       1.144997    
   1.193515       1.237830       1.278222       1.314922       1.348108    
   1.377924       1.404490       1.427899       1.448236       1.465563    
   1.479934       1.491396       1.499974       1.505690       1.508557    
   1.508558       1.505690       1.499975       1.491397       1.479934    
   1.465559       1.448233       1.427896       1.404485       1.377917    
   1.348101       1.314920       1.278221       1.237826       1.193510    
   1.144994       1.091910       1.033767      0.9699087      0.8994040    
  0.8208700      0.7321175      0.6293220      0.5047055      0.3374995    
  0.3314314      0.4951878      0.6166870      0.7165334      0.8024525    
  0.8782606      0.9461553       1.007526       1.063310       1.114172    
   1.160598       1.202959       1.241539       1.276564       1.308214    
   1.336636       1.361949       1.384245       1.403607       1.420101    
   1.433777       1.444680       1.452837       1.458270       1.460992    
   1.460993       1.458274       1.452847       1.444695       1.433796    
   1.420120       1.403631       1.384269       1.361968       1.336654    
   1.308233       1.276585       1.241563       1.202985       1.160625    
